"cuti_id","pegawai_id","jenis_cuti","tanggal_mulai","tanggal_selesai","status"
1,1,Cuti Sakit,2023-11-10,2023-11-11,Disetujui
2,1,Cuti Tahunan,2023-06-11,2023-06-21,Disetujui
3,1,Cuti Tahunan,2024-09-01,2024-09-03,Disetujui
4,1,Cuti Tahunan,2026-10-09,2026-10-11,Disetujui
5,2,Cuti Alasan Penting,2023-04-17,2023-04-21,Disetujui
6,2,Cuti Tahunan,2024-12-17,2024-12-26,Disetujui
7,2,Cuti Tahunan,2025-05-16,2025-05-22,Disetujui
8,2,Cuti Melahirkan,2026-12-22,2027-03-22,Disetujui
9,3,Cuti Melahirkan,2023-10-21,2024-01-19,Disetujui
10,3,Cuti Tahunan,2024-07-05,2024-07-07,Disetujui
11,3,Cuti Sakit,2026-04-05,2026-04-06,Disetujui
12,4,Cuti Alasan Penting,2022-12-17,2022-12-21,Disetujui
13,4,Cuti Tahunan,2023-11-12,2023-11-22,Menunggu
14,4,Cuti Tahunan,2024-10-24,2024-11-01,Disetujui
15,4,Cuti Besar,2025-02-16,2025-03-12,Menunggu
16,4,Cuti Besar,2026-12-04,2026-12-29,Disetujui
17,5,Cuti Tahunan,2022-06-18,2022-06-28,Ditolak
18,5,Cuti Sakit,2023-05-16,2023-05-23,Disetujui
19,5,Cuti Sakit,2024-01-09,2024-01-12,Disetujui
20,5,Cuti Tahunan,2025-12-25,2026-01-01,Disetujui
21,5,Cuti Alasan Penting,2026-07-23,2026-07-26,Disetujui
22,6,Cuti Tahunan,2023-12-01,2023-12-13,Disetujui
23,6,Cuti Sakit,2023-11-16,2023-11-19,Disetujui
24,6,Cuti Tahunan,2026-01-18,2026-01-21,Disetujui
25,6,Cuti Tahunan,2026-01-08,2026-01-13,Menunggu
26,8,Cuti Tahunan,2025-05-01,2025-05-05,Disetujui
27,9,Cuti Sakit,2025-11-15,2025-11-20,Disetujui
28,10,Cuti Tahunan,2022-10-05,2022-10-16,Disetujui
29,10,Cuti Tahunan,2022-01-25,2022-02-05,Ditolak
30,10,Cuti Besar,2023-05-16,2023-06-13,Disetujui
31,10,Cuti Tahunan,2024-02-24,2024-03-06,Disetujui
32,10,Cuti Melahirkan,2025-01-18,2025-04-18,Disetujui
33,10,Cuti Besar,2025-01-09,2025-02-06,Disetujui
34,10,Cuti Tahunan,2026-07-23,2026-08-01,Disetujui
35,11,Cuti Tahunan,2025-12-23,2025-12-31,Menunggu
36,11,Cuti Besar,2026-06-04,2026-06-26,Disetujui
37,11,Cuti Tahunan,2026-01-24,2026-01-28,Disetujui
38,12,Cuti Tahunan,2024-01-20,2024-01-31,Ditolak
39,12,Cuti Sakit,2026-02-08,2026-02-09,Disetujui
40,13,Cuti Alasan Penting,2022-08-25,2022-08-30,Disetujui
41,13,Cuti Besar,2022-01-04,2022-01-30,Disetujui
42,13,Cuti Sakit,2023-06-17,2023-06-22,Disetujui
43,13,Cuti Alasan Penting,2024-10-13,2024-10-16,Disetujui
44,13,Cuti Tahunan,2025-12-20,2025-12-31,Disetujui
45,13,Cuti Alasan Penting,2026-07-04,2026-07-09,Disetujui
46,13,Cuti Tahunan,2026-05-02,2026-05-14,Disetujui
47,14,Cuti Alasan Penting,2023-01-04,2023-01-07,Disetujui
48,14,Cuti Besar,2024-05-13,2024-06-10,Disetujui
49,14,Cuti Tahunan,2024-07-11,2024-07-21,Disetujui
50,15,Cuti Tahunan,2026-09-15,2026-09-20,Disetujui
51,16,Cuti Sakit,2026-07-03,2026-07-07,Disetujui
52,17,Cuti Alasan Penting,2022-01-14,2022-01-19,Disetujui
53,17,Cuti Sakit,2023-06-11,2023-06-12,Disetujui
54,17,Cuti Sakit,2024-12-10,2024-12-11,Menunggu
55,17,Cuti Tahunan,2025-10-06,2025-10-14,Disetujui
56,17,Cuti Tahunan,2026-07-19,2026-07-26,Disetujui
57,17,Cuti Tahunan,2026-11-21,2026-11-28,Disetujui
58,18,Cuti Melahirkan,2026-02-24,2026-05-25,Disetujui
59,19,Cuti Besar,2022-03-05,2022-03-28,Disetujui
60,19,Cuti Tahunan,2023-11-11,2023-11-15,Disetujui
61,19,Cuti Tahunan,2025-07-20,2025-07-22,Disetujui
62,19,Cuti Tahunan,2026-08-23,2026-08-31,Disetujui
63,20,Cuti Sakit,2022-09-12,2022-09-16,Disetujui
64,20,Cuti Sakit,2022-12-08,2022-12-14,Disetujui
65,20,Cuti Besar,2023-12-03,2023-12-25,Disetujui
66,20,Cuti Besar,2023-10-02,2023-10-24,Disetujui
67,20,Cuti Tahunan,2024-02-01,2024-02-13,Disetujui
68,20,Cuti Sakit,2026-04-12,2026-04-16,Disetujui
69,21,Cuti Tahunan,2024-04-04,2024-04-12,Disetujui
70,21,Cuti Tahunan,2025-01-06,2025-01-18,Disetujui
71,22,Cuti Sakit,2022-03-07,2022-03-14,Disetujui
72,22,Cuti Tahunan,2023-09-15,2023-09-20,Disetujui
73,22,Cuti Sakit,2024-10-17,2024-10-19,Disetujui
74,22,Cuti Tahunan,2025-04-09,2025-04-13,Disetujui
75,22,Cuti Tahunan,2025-02-16,2025-02-18,Disetujui
76,22,Cuti Tahunan,2026-09-13,2026-09-24,Disetujui
77,23,Cuti Tahunan,2026-02-25,2026-03-08,Disetujui
