"kinerja_id","pegawai_id","periode","nilai","predikat","created_at"
1,1,2022,80.63,Baik,2026-07-08 01:06:50.441
2,1,2023,81.47,Baik,2026-07-08 01:06:50.441
3,1,2024,82.32,Baik,2026-07-08 01:06:50.441
4,1,2025,82.08,Baik,2026-07-08 01:06:50.441
5,1,2026,82.92,Baik,2026-07-08 01:06:50.441
6,2,2022,80.25,Baik,2026-07-08 01:06:50.441
7,2,2023,80.80,Baik,2026-07-08 01:06:50.441
8,2,2024,82.50,Baik,2026-07-08 01:06:50.441
9,2,2025,83.60,Baik,2026-07-08 01:06:50.441
10,2,2026,85.39,Baik,2026-07-08 01:06:50.441
11,3,2022,80.07,Baik,2026-07-08 01:06:50.441
12,3,2023,81.72,Baik,2026-07-08 01:06:50.441
13,3,2024,80.77,Baik,2026-07-08 01:06:50.441
14,4,2022,82.63,Baik,2026-07-08 01:06:50.441
15,4,2023,82.65,Baik,2026-07-08 01:06:50.441
16,4,2024,82.77,Baik,2026-07-08 01:06:50.441
17,4,2025,83.12,Baik,2026-07-08 01:06:50.441
18,4,2026,83.39,Baik,2026-07-08 01:06:50.441
19,5,2022,81.79,Baik,2026-07-08 01:06:50.441
20,5,2023,80.81,Baik,2026-07-08 01:06:50.441
21,5,2024,81.06,Baik,2026-07-08 01:06:50.441
22,5,2025,82.65,Baik,2026-07-08 01:06:50.441
23,5,2026,84.55,Baik,2026-07-08 01:06:50.441
24,6,2022,73.29,Cukup,2026-07-08 01:06:50.441
25,6,2023,71.42,Cukup,2026-07-08 01:06:50.441
26,6,2024,72.41,Cukup,2026-07-08 01:06:50.441
27,6,2025,72.49,Cukup,2026-07-08 01:06:50.441
28,6,2026,71.29,Cukup,2026-07-08 01:06:50.441
29,7,2025,82.58,Baik,2026-07-08 01:06:50.441
30,7,2026,84.30,Baik,2026-07-08 01:06:50.441
31,8,2025,76.66,Cukup,2026-07-08 01:06:50.441
32,8,2026,76.34,Cukup,2026-07-08 01:06:50.441
33,9,2022,81.01,Baik,2026-07-08 01:06:50.441
34,9,2023,82.08,Baik,2026-07-08 01:06:50.441
35,9,2024,83.76,Baik,2026-07-08 01:06:50.441
36,9,2025,83.55,Baik,2026-07-08 01:06:50.441
37,9,2026,83.61,Baik,2026-07-08 01:06:50.441
38,10,2022,75.80,Cukup,2026-07-08 01:06:50.441
39,10,2023,74.32,Cukup,2026-07-08 01:06:50.441
40,10,2024,73.38,Cukup,2026-07-08 01:06:50.441
41,10,2025,74.61,Cukup,2026-07-08 01:06:50.441
42,10,2026,75.20,Cukup,2026-07-08 01:06:50.441
43,11,2024,80.91,Baik,2026-07-08 01:06:50.441
44,11,2025,78.97,Cukup,2026-07-08 01:06:50.441
45,11,2026,77.65,Cukup,2026-07-08 01:06:50.441
46,12,2022,73.52,Cukup,2026-07-08 01:06:50.441
47,12,2023,71.66,Cukup,2026-07-08 01:06:50.441
48,12,2024,71.05,Cukup,2026-07-08 01:06:50.441
49,12,2025,72.38,Cukup,2026-07-08 01:06:50.441
50,12,2026,71.90,Cukup,2026-07-08 01:06:50.441
51,13,2022,91.30,Sangat Baik,2026-07-08 01:06:50.441
52,13,2023,91.64,Sangat Baik,2026-07-08 01:06:50.441
53,13,2024,92.61,Sangat Baik,2026-07-08 01:06:50.441
54,13,2025,92.73,Sangat Baik,2026-07-08 01:06:50.441
55,13,2026,92.46,Sangat Baik,2026-07-08 01:06:50.441
56,14,2022,81.85,Baik,2026-07-08 01:06:50.441
57,14,2023,79.89,Cukup,2026-07-08 01:06:50.441
58,14,2024,78.05,Cukup,2026-07-08 01:06:50.441
59,14,2025,76.39,Cukup,2026-07-08 01:06:50.441
60,14,2026,75.81,Cukup,2026-07-08 01:06:50.441
61,15,2026,80.70,Baik,2026-07-08 01:06:50.441
62,17,2022,82.14,Baik,2026-07-08 01:06:50.441
63,17,2023,82.62,Baik,2026-07-08 01:06:50.441
64,17,2024,82.01,Baik,2026-07-08 01:06:50.441
