"mutasi_id","pegawai_id","instansi_asal_id","instansi_tujuan_id","tanggal_mutasi","jenis_mutasi"
1,5,12,47,2017-10-18,Rotasi
2,10,15,3,2000-10-20,Alih Tugas
3,10,40,3,2006-05-06,Alih Tugas
4,10,38,3,2011-08-04,Alih Tugas
5,17,2,35,2002-05-08,Rotasi
6,17,7,35,2005-06-06,Alih Tugas
7,17,44,35,2008-03-01,Promosi
8,34,24,10,2000-04-07,Alih Tugas
9,34,43,10,2006-02-09,Rotasi
10,40,2,43,2027-01-24,Promosi
11,48,42,23,2017-01-05,Rotasi
12,52,43,42,1999-08-20,Rotasi
13,52,35,42,2003-09-16,Rotasi
14,53,44,3,2003-02-15,Rotasi
15,53,44,3,2006-01-25,Rotasi
16,70,16,23,2025-08-01,Promosi
17,80,33,7,2010-11-20,Rotasi
18,80,37,7,2013-08-01,Rotasi
19,82,8,37,2024-08-03,Rotasi
20,86,38,9,2020-12-11,Rotasi
21,87,33,45,2014-12-12,Alih Tugas
22,87,34,45,2017-10-02,Rotasi
23,88,9,47,1999-12-28,Rotasi
24,89,3,23,1992-05-18,Rotasi
25,89,15,23,1998-11-01,Promosi
26,90,40,1,2028-09-26,Promosi
27,91,19,10,2008-10-18,Promosi
28,91,12,10,2011-07-13,Rotasi
29,102,8,28,1999-04-24,Alih Tugas
30,102,7,28,2003-08-10,Promosi
31,102,36,28,2007-10-07,Rotasi
32,104,14,20,2016-12-01,Rotasi
33,109,38,24,2017-12-16,Alih Tugas
34,115,39,14,2021-04-04,Alih Tugas
35,124,44,25,2023-02-07,Rotasi
36,127,18,29,1999-08-21,Rotasi
37,127,45,29,2004-05-10,Rotasi
38,127,15,29,2008-08-26,Rotasi
39,133,15,43,1999-11-16,Alih Tugas
40,144,27,35,2018-10-18,Promosi
41,159,2,43,2017-06-12,Rotasi
42,159,28,43,2022-06-03,Rotasi
43,167,28,37,2018-12-08,Promosi
44,168,44,2,2014-05-27,Promosi
45,175,44,1,2000-11-09,Promosi
46,175,47,1,2003-05-25,Rotasi
47,175,29,1,2006-02-17,Promosi
48,180,31,5,2025-10-21,Promosi
49,184,32,35,2023-04-04,Rotasi
50,193,20,19,2014-06-15,Rotasi
51,194,32,42,2007-11-25,Rotasi
52,194,12,42,2013-09-27,Rotasi
53,200,39,21,1997-11-14,Rotasi
54,200,11,21,2002-09-02,Rotasi
55,201,9,30,2010-06-21,Promosi
56,201,40,30,2015-01-01,Rotasi
57,207,7,11,2022-08-24,Rotasi
58,214,26,31,2012-01-16,Promosi
59,214,34,31,2017-10-10,Alih Tugas
60,227,38,10,2027-03-13,Promosi
61,230,44,8,2007-01-23,Promosi
62,230,39,8,2010-10-24,Rotasi
63,230,46,8,2015-04-13,Promosi
64,239,19,1,2021-08-02,Rotasi
65,248,42,36,2017-07-03,Promosi
66,248,28,36,2020-05-06,Promosi
67,250,28,19,2028-03-21,Promosi
68,253,16,33,2009-01-27,Rotasi
69,257,33,39,2006-09-13,Promosi
70,259,2,5,2019-08-28,Rotasi
71,261,18,12,1998-10-06,Rotasi
72,266,45,7,2029-08-26,Rotasi
73,267,42,18,2013-09-15,Rotasi
74,267,27,18,2017-04-16,Rotasi
75,280,30,24,2012-10-26,Rotasi
76,298,10,38,2026-02-21,Rotasi
77,309,4,9,2016-02-10,Alih Tugas
78,310,10,2,1996-02-25,Rotasi
79,313,15,31,2014-03-28,Rotasi
80,313,7,31,2019-07-11,Rotasi
81,319,8,35,2019-02-21,Promosi
82,320,33,31,2019-11-12,Rotasi
83,326,27,16,2015-04-19,Promosi
84,333,35,3,2018-12-23,Rotasi
85,333,7,3,2021-01-04,Alih Tugas
86,339,7,39,2029-02-21,Rotasi
87,342,34,9,2026-03-28,Rotasi
88,345,9,42,2025-01-18,Rotasi
89,347,24,18,2027-06-15,Rotasi
90,350,32,23,2008-11-06,Rotasi
91,360,32,5,2028-06-07,Alih Tugas
92,361,46,27,2021-11-15,Rotasi
93,363,31,28,2026-04-20,Alih Tugas
94,386,36,33,2006-01-26,Rotasi
95,387,2,11,2008-11-24,Rotasi
96,394,43,29,2018-01-04,Rotasi
97,394,42,29,2022-03-06,Rotasi
98,396,39,46,2015-04-22,Alih Tugas
99,396,7,46,2018-08-15,Promosi
100,399,37,29,2010-01-09,Rotasi
101,399,8,29,2016-12-01,Rotasi
102,403,2,20,1997-10-09,Promosi
103,403,16,20,2002-08-02,Alih Tugas
104,403,8,20,2005-07-08,Rotasi
105,410,40,16,2011-06-21,Rotasi
106,410,4,16,2015-05-09,Promosi
107,411,5,45,2006-06-08,Rotasi
108,416,31,23,2015-07-22,Rotasi
109,416,10,23,2018-08-27,Rotasi
110,426,6,12,1998-01-28,Rotasi
111,426,19,12,2001-08-12,Promosi
112,426,35,12,2006-07-15,Alih Tugas
113,428,22,46,2017-03-28,Alih Tugas
114,440,10,11,2024-11-23,Rotasi
115,441,4,47,1994-01-28,Rotasi
