"riwayat_jabatan_id","pegawai_id","jabatan_id","instansi_id","tanggal_mulai","tanggal_selesai"
76589,1,3,15,2019-10-27,2022-10-27
76590,1,12,15,2022-10-27,
76591,2,22,14,2007-05-09,2013-05-09
76592,2,2,14,2013-05-09,2019-05-09
76593,2,11,14,2019-05-09,
76594,3,5,2,2015-07-18,2018-07-18
76595,3,14,2,2018-07-18,2021-07-18
76596,3,23,2,2021-07-18,
76597,4,14,44,2018-07-09,2022-07-09
76598,4,16,44,2022-07-09,
76599,5,1,47,2014-07-04,2018-07-04
76600,5,14,47,2018-07-04,2022-07-04
76601,5,3,47,2022-07-04,
76602,6,5,25,2013-08-05,2017-08-05
76603,6,17,25,2017-08-05,2021-08-05
76604,6,3,25,2021-08-05,
76605,7,5,10,2025-12-23,
76606,8,11,29,2025-07-20,
76607,9,22,35,2022-01-08,
76608,10,3,3,1997-10-08,2004-10-08
76609,10,5,3,2004-10-08,2011-10-08
76610,10,8,3,2011-10-08,2018-10-08
76611,10,1,3,2018-10-08,
76612,11,17,35,2024-03-21,
76613,12,17,26,2022-06-08,
76614,13,20,27,2015-11-13,2018-11-13
76615,13,11,27,2018-11-13,2021-11-13
76616,13,1,27,2021-11-13,
76617,14,15,45,2018-02-22,2022-02-22
76618,14,18,45,2022-02-22,
76619,15,20,1,2026-06-17,
76620,16,9,26,2026-07-04,
76621,17,22,35,1999-06-08,2005-06-08
76622,17,8,35,2005-06-08,2011-06-08
76623,17,15,35,2011-06-08,2017-06-08
76624,17,23,35,2017-06-08,
76625,18,22,20,2026-01-26,
76626,19,17,10,1999-06-18,2005-06-18
76627,19,16,10,2005-06-18,2011-06-18
76628,19,5,10,2011-06-18,2017-06-18
76629,19,4,10,2017-06-18,
76630,20,7,23,2021-11-19,2023-11-19
76631,20,19,23,2023-11-19,
76632,21,14,3,2024-02-12,
76633,22,19,25,2020-12-06,2023-12-06
76634,22,6,25,2023-12-06,
76635,23,17,22,2025-03-02,
76636,24,9,31,2011-03-07,2016-03-07
76637,24,1,31,2016-03-07,2021-03-07
76638,24,3,31,2021-03-07,
76639,25,5,4,2020-06-18,2023-06-18
76640,25,15,4,2023-06-18,
76641,26,4,33,2018-05-05,2022-05-05
76642,26,13,33,2022-05-05,
76643,27,17,46,2025-07-02,
76644,28,6,47,2007-07-14,2013-07-14
76645,28,4,47,2013-07-14,2019-07-14
76646,28,19,47,2019-07-14,
76647,29,11,17,2001-04-24,2007-04-24
76648,29,8,17,2007-04-24,2013-04-24
76649,29,5,17,2013-04-24,2019-04-24
76650,29,9,17,2019-04-24,
76651,30,17,9,2026-03-25,
76652,31,7,39,2016-02-05,2019-02-05
76653,31,2,39,2019-02-05,2022-02-05
76654,31,12,39,2022-02-05,
76655,32,3,8,2007-11-17,2013-11-17
76656,32,17,8,2013-11-17,2019-11-17
76657,32,2,8,2019-11-17,
76658,33,8,26,2011-03-07,2016-03-07
76659,33,14,26,2016-03-07,2021-03-07
76660,33,5,26,2021-03-07,
76661,34,14,10,1997-07-25,2004-07-25
76662,34,21,10,2004-07-25,2011-07-25
76663,34,23,10,2011-07-25,2018-07-25
76664,34,17,10,2018-07-25,
76665,35,16,11,2023-03-03,
76666,36,18,13,2010-05-23,2015-05-23
76667,36,11,13,2015-05-23,2020-05-23
76668,36,7,13,2020-05-23,
76669,37,23,25,1994-12-07,2002-12-07
76670,37,8,25,2002-12-07,2010-12-07
76671,37,6,25,2010-12-07,2018-12-07
76672,37,2,25,2018-12-07,
76673,38,20,38,2019-09-27,2022-09-27
76674,38,11,38,2022-09-27,
76675,39,18,7,2015-07-06,2018-07-06
76676,39,15,7,2018-07-06,2021-07-06
76677,39,7,7,2021-07-06,
76678,40,10,43,2024-01-01,
76679,41,8,17,2020-07-08,2023-07-08
76680,41,21,17,2023-07-08,
76681,42,9,9,2015-10-26,2018-10-26
76682,42,22,9,2018-10-26,2021-10-26
76683,42,2,9,2021-10-26,
76684,43,22,28,2025-10-15,
76685,44,11,30,2022-05-22,
76686,45,14,29,2012-02-23,2016-02-23
76687,45,10,29,2016-02-23,2020-02-23
76688,45,16,29,2020-02-23,
76689,46,11,32,2013-12-10,2017-12-10
76690,46,21,32,2017-12-10,2021-12-10
76691,46,23,32,2021-12-10,
76692,47,5,1,2000-02-06,2006-02-06
76693,47,19,1,2006-02-06,2012-02-06
76694,47,11,1,2012-02-06,2018-02-06
76695,47,1,1,2018-02-06,
76696,48,18,23,2014-04-10,2018-04-10
76697,48,14,23,2018-04-10,2022-04-10
76698,48,9,23,2022-04-10,
76699,49,6,46,2024-10-05,
76700,50,1,17,2024-10-06,
76701,51,14,19,2026-05-26,
76702,52,3,42,1996-10-01,2003-10-01
76703,52,5,42,2003-10-01,2010-10-01
76704,52,20,42,2010-10-01,2017-10-01
76705,52,6,42,2017-10-01,
76706,53,4,3,2000-07-21,2006-07-21
76707,53,8,3,2006-07-21,2012-07-21
76708,53,7,3,2012-07-21,2018-07-21
76709,53,20,3,2018-07-21,
76710,54,6,35,2019-03-18,2022-03-18
76711,54,9,35,2022-03-18,
76712,55,22,31,2020-01-07,2023-01-07
76713,55,1,31,2023-01-07,
76714,56,18,25,2026-01-28,
76715,57,17,35,2003-04-28,2008-04-28
76716,57,2,35,2008-04-28,2013-04-28
76717,57,11,35,2013-04-28,2018-04-28
76718,57,12,35,2018-04-28,
76719,58,9,41,2024-05-27,
76720,59,13,27,2012-07-19,2016-07-19
76721,59,7,27,2016-07-19,2020-07-19
76722,59,6,27,2020-07-19,
76723,60,7,42,2000-08-24,2006-08-24
76724,60,12,42,2006-08-24,2012-08-24
76725,60,21,42,2012-08-24,2018-08-24
76726,60,19,42,2018-08-24,
76727,61,23,25,2013-10-22,2017-10-22
76728,61,12,25,2017-10-22,2021-10-22
76729,61,8,25,2021-10-22,
76730,62,3,13,2019-08-05,2022-08-05
76731,62,16,13,2022-08-05,
76732,63,17,35,2014-11-13,2018-11-13
76733,63,13,35,2018-11-13,2022-11-13
76734,63,1,35,2022-11-13,
76735,64,15,13,2020-10-20,2023-10-20
76736,64,8,13,2023-10-20,
76737,65,3,8,2015-10-20,2018-10-20
76738,65,12,8,2018-10-20,2021-10-20
76739,65,11,8,2021-10-20,
76740,66,10,1,2017-05-08,2021-05-08
76741,66,12,1,2021-05-08,
76742,67,9,9,2024-04-07,
76743,68,22,5,2025-11-07,
76744,69,2,22,2024-04-24,
76745,70,13,23,2022-10-22,
76746,71,17,16,2009-04-10,2014-04-10
76747,71,4,16,2014-04-10,2019-04-10
76748,71,12,16,2019-04-10,
76749,72,6,23,1998-08-25,2005-08-25
76750,72,7,23,2005-08-25,2012-08-25
76751,72,14,23,2012-08-25,2019-08-25
76752,72,15,23,2019-08-25,
76753,73,6,13,2025-09-27,
76754,74,2,44,2019-07-14,2022-07-14
76755,74,3,44,2022-07-14,
