"riwayat_pangkat_id","pegawai_id","pangkat_id","tanggal_mulai","tanggal_selesai"
1,1,7,2019-10-27,2022-10-27
2,1,8,2022-10-27,
3,2,6,2007-05-09,2013-05-09
4,2,7,2013-05-09,2019-05-09
5,2,8,2019-05-09,
6,3,7,2015-07-18,2018-07-18
7,3,8,2018-07-18,2021-07-18
8,3,9,2021-07-18,
9,4,1,2018-07-09,2022-07-09
10,4,2,2022-07-09,
11,5,4,2014-07-04,2018-07-04
12,5,5,2018-07-04,2022-07-04
13,5,6,2022-07-04,
14,6,7,2013-08-05,2017-08-05
15,6,8,2017-08-05,2021-08-05
16,6,9,2021-08-05,
17,7,8,2025-12-23,
18,8,2,2025-07-20,
19,9,2,2022-01-08,
20,10,1,1997-10-08,2011-10-08
21,10,2,2011-10-08,
22,11,2,2024-03-21,
23,12,2,2022-06-08,
24,13,1,2015-11-13,2020-11-13
25,13,2,2020-11-13,
26,14,7,2018-02-22,2022-02-22
27,14,8,2022-02-22,
28,15,1,2026-06-17,
29,16,10,2026-07-04,
30,17,3,1999-06-08,2005-06-08
31,17,4,2005-06-08,2011-06-08
32,17,5,2011-06-08,2017-06-08
33,17,6,2017-06-08,
34,18,5,2026-01-26,
35,19,2,1999-06-18,2005-06-18
36,19,3,2005-06-18,2011-06-18
37,19,4,2011-06-18,2017-06-18
38,19,5,2017-06-18,
39,20,4,2021-11-19,2023-11-19
40,20,5,2023-11-19,
41,21,6,2024-02-12,
42,22,1,2020-12-06,2023-12-06
43,22,2,2023-12-06,
44,23,6,2025-03-02,
45,24,5,2011-03-07,2016-03-07
46,24,6,2016-03-07,2021-03-07
47,24,7,2021-03-07,
48,25,5,2020-06-18,2023-06-18
49,25,6,2023-06-18,
50,26,1,2018-05-05,
51,27,6,2025-07-02,
52,28,5,2007-07-14,2013-07-14
53,28,6,2013-07-14,2019-07-14
54,28,7,2019-07-14,
55,29,3,2001-04-24,2007-04-24
56,29,4,2007-04-24,2013-04-24
57,29,5,2013-04-24,2019-04-24
58,29,6,2019-04-24,
59,30,2,2026-03-25,
60,31,4,2016-02-05,2019-02-05
61,31,5,2019-02-05,2022-02-05
62,31,6,2022-02-05,
63,32,6,2007-11-17,2013-11-17
64,32,7,2013-11-17,2019-11-17
65,32,8,2019-11-17,
66,33,5,2011-03-07,2016-03-07
67,33,6,2016-03-07,2021-03-07
68,33,7,2021-03-07,
69,34,1,1997-07-25,2011-07-25
70,34,2,2011-07-25,
71,35,6,2023-03-03,
72,36,6,2010-05-23,2015-05-23
73,36,7,2015-05-23,2020-05-23
74,36,8,2020-05-23,
75,37,1,1994-12-07,
76,38,1,2019-09-27,2022-09-27
77,38,2,2022-09-27,
78,39,1,2015-07-06,2020-07-06
79,39,2,2020-07-06,
80,40,1,2024-01-01,
81,41,1,2020-07-08,2023-07-08
82,41,2,2023-07-08,
