"riwayat_pendidikan_id","pegawai_id","pendidikan_id","nama_universitas","program_studi","tahun_lulus"
1,1,1,,,1995
2,1,4,Universitas Hasanuddin,Statistika,1999
3,2,1,,,1987
4,2,4,Universitas Negeri Yogyakarta,Kesehatan Masyarakat,1991
5,3,1,,,1986
6,3,4,Universitas Padjadjaran,Kesehatan Masyarakat,1990
7,4,1,,,2014
8,4,4,Universitas Sriwijaya,Teknik Industri,2018
9,5,1,,,2005
10,5,4,Telkom University,Statistika,2009
11,6,1,,,1989
12,6,4,Universitas Sriwijaya,Teknik Sipil,1993
13,7,1,,,1999
14,7,4,Universitas Sebelas Maret,Ekonomi,2003
15,8,1,,,2021
16,8,4,BINUS University,Ekonomi,2025
17,9,1,,,2018
18,9,4,Universitas Sebelas Maret,Hukum,2022
19,10,1,,,1992
20,10,4,Universitas Negeri Yogyakarta,Teknik Industri,1996
21,10,5,Universitas Brawijaya,Akuntansi,1998
22,11,1,,,2020
23,11,4,Telkom University,Kesehatan Masyarakat,2024
24,12,1,,,2017
25,12,4,Universitas Sriwijaya,Matematika,2021
26,13,1,,,2011
27,13,4,Institut Pertanian Bogor,Teknik Sipil,2015
28,14,1,,,2003
29,14,4,Universitas Hasanuddin,Sistem Informasi,2007
30,15,1,,,2022
31,15,4,Institut Teknologi Bandung,Ilmu Komputer,2026
32,16,1,,,1986
33,16,4,Universitas Hasanuddin,Sistem Informasi,1990
34,16,5,Institut Pertanian Bogor,Kesehatan Masyarakat,1992
35,17,1,,,1987
36,17,4,BINUS University,Teknik Sipil,1991
37,18,1,,,2016
38,18,4,Universitas Sriwijaya,Administrasi Publik,2020
39,19,1,,,1987
40,19,4,Universitas Airlangga,Ilmu Komputer,1991
41,20,1,,,2011
42,20,2,Universitas Hasanuddin,Hukum,2014
43,21,1,,,2013
44,21,4,Universitas Sebelas Maret,Hukum,2017
45,22,1,,,2014
46,22,4,Telkom University,Hukum,2018
47,22,5,Universitas Negeri Yogyakarta,Statistika,2020
48,23,1,,,2013
49,23,4,Universitas Negeri Yogyakarta,Ilmu Komputer,2017
50,24,1,,,1992
51,24,4,Universitas Diponegoro,Ekonomi,1996
52,25,1,,,2011
53,25,4,Universitas Airlangga,Akuntansi,2015
54,26,1,,,2014
55,26,2,Universitas Negeri Jakarta,Akuntansi,2017
56,27,1,,,2016
57,27,4,Telkom University,Ekonomi,2020
58,28,1,,,1990
59,28,4,Universitas Gadjah Mada,Hukum,1994
60,28,5,Universitas Gadjah Mada,Manajemen,1996
61,29,1,,,1992
62,29,4,BINUS University,Statistika,1996
63,30,1,,,2021
64,30,4,Universitas Negeri Jakarta,Manajemen,2025
65,31,1,,,2007
66,31,4,Universitas Negeri Jakarta,Matematika,2011
67,32,1,,,1984
68,32,4,Institut Teknologi Bandung,Ilmu Komputer,1988
69,33,1,,,1996
70,33,4,Universitas Sebelas Maret,Teknik Industri,2000
71,34,1,,,1990
72,34,4,BINUS University,Teknik Sipil,1994
73,35,1,,,2014
74,35,4,Universitas Negeri Jakarta,Hukum,2018
75,35,5,Universitas Padjadjaran,Administrasi Publik,2020
76,36,1,,,1988
77,36,4,Universitas Gadjah Mada,Matematika,1992
78,36,5,Universitas Negeri Jakarta,Teknik Industri,1994
79,37,1,,,1987
80,37,4,Universitas Gadjah Mada,Matematika,1991
81,37,5,Universitas Hasanuddin,Teknik Sipil,1993
82,38,1,,,2015
83,38,4,Institut Pertanian Bogor,Statistika,2019
84,38,5,BINUS University,Ilmu Komputer,2021
85,39,1,,,2009
86,39,4,Universitas Indonesia,Akuntansi,2013
87,40,1,,,2020
88,40,4,Institut Teknologi Bandung,Teknik Industri,2024
89,41,1,,,2013
90,41,4,Universitas Brawijaya,Administrasi Publik,2017
91,42,1,,,2009
92,42,4,Institut Pertanian Bogor,Teknik Sipil,2013
93,43,1,,,2021
94,43,4,Universitas Gadjah Mada,Manajemen,2025
95,44,1,,,2017
96,44,4,Universitas Negeri Yogyakarta,Administrasi Publik,2021
97,44,5,Universitas Brawijaya,Ekonomi,2023
98,45,1,,,1986
99,45,4,Universitas Gadjah Mada,Kesehatan Masyarakat,1990
100,46,1,,,2009
101,46,4,Universitas Indonesia,Kesehatan Masyarakat,2013
102,47,1,,,1990
103,47,4,Universitas Hasanuddin,Teknik Informatika,1994
104,47,5,Institut Pertanian Bogor,Administrasi Publik,1996
105,48,1,,,1997
106,48,4,Universitas Negeri Yogyakarta,Matematika,2001
107,49,1,,,2020
108,49,4,Universitas Sebelas Maret,Akuntansi,2024
109,50,1,,,1992
110,50,4,Universitas Diponegoro,Ilmu Komputer,1996
111,51,1,,,2008
112,51,4,Universitas Diponegoro,Statistika,2012
113,52,1,,,1990
114,52,4,Universitas Gadjah Mada,Kesehatan Masyarakat,1994
115,53,1,,,1991
116,53,4,Universitas Airlangga,Ekonomi,1995
117,54,1,,,1998
118,54,4,Universitas Negeri Jakarta,Administrasi Negara,2002
119,55,1,,,1985
120,55,4,Universitas Negeri Yogyakarta,Administrasi Negara,1989
121,56,1,,,2021
122,56,2,Universitas Indonesia,Administrasi Publik,2024
123,57,1,,,1996
124,57,4,BINUS University,Teknik Informatika,2000
125,58,1,,,2009
126,58,4,Universitas Hasanuddin,Sistem Informasi,2013
127,59,1,,,2001
128,59,4,BINUS University,Teknik Sipil,2005
129,59,5,Universitas Sebelas Maret,Matematika,2007
130,60,1,,,1994
131,60,4,Institut Teknologi Bandung,Kesehatan Masyarakat,1998
132,60,5,Universitas Diponegoro,Statistika,2000
133,61,1,,,1998
134,61,4,Universitas Padjadjaran,Statistika,2002
135,62,1,,,1998
136,62,4,Institut Teknologi Bandung,Administrasi Negara,2002
137,63,1,,,1990
138,63,4,Institut Pertanian Bogor,Administrasi Negara,1994
139,64,1,,,2016
140,64,4,Telkom University,Ekonomi,2020
141,65,1,,,2002
142,65,4,Universitas Hasanuddin,Ekonomi,2006
143,65,5,Universitas Diponegoro,Administrasi Publik,2008
144,66,1,,,2012
145,66,4,Universitas Gadjah Mada,Statistika,2016
146,67,1,,,2013
147,67,4,Universitas Negeri Yogyakarta,Kesehatan Masyarakat,2017
148,67,5,Universitas Diponegoro,Ilmu Komputer,2019
149,68,1,,,2021
150,68,4,Universitas Airlangga,Ilmu Komputer,2025
151,69,1,,,1983
152,69,4,Institut Pertanian Bogor,Administrasi Publik,1987
153,69,5,Telkom University,Ekonomi,1989
154,70,1,,,1988
155,70,4,Telkom University,Administrasi Negara,1992
156,70,5,Institut Pertanian Bogor,Teknik Industri,1994
157,71,1,,,2003
158,71,4,Universitas Hasanuddin,Teknik Industri,2007
159,71,5,Universitas Brawijaya,Manajemen,2009
160,71,6,Universitas Airlangga,Akuntansi,2013
161,72,1,,,1984
162,72,4,Universitas Negeri Jakarta,Kesehatan Masyarakat,1988
163,73,1,,,2020
164,73,2,Universitas Sriwijaya,Sistem Informasi,2023
165,74,1,,,1995
166,74,4,Universitas Indonesia,Akuntansi,1999
167,74,5,Institut Pertanian Bogor,Teknik Sipil,2001
168,75,1,,,2007
169,75,4,Telkom University,Hukum,2011
170,76,1,,,2005
171,76,4,Universitas Negeri Jakarta,Administrasi Negara,2009
172,77,1,,,2015
173,77,4,Universitas Sebelas Maret,Teknik Informatika,2019
174,78,1,,,1999
175,78,4,Institut Pertanian Bogor,Administrasi Negara,2003
176,79,1,,,2017
177,79,4,Universitas Airlangga,Teknik Industri,2021
178,80,1,,,1998
179,80,4,Universitas Negeri Jakarta,Teknik Informatika,2002
180,81,1,,,1999
181,81,4,Universitas Indonesia,Matematika,2003
182,81,5,Universitas Hasanuddin,Teknik Industri,2005
183,82,1,,,2006
184,82,4,Universitas Indonesia,Ekonomi,2010
185,83,1,,,2017
186,83,4,Universitas Gadjah Mada,Teknik Informatika,2021
187,84,1,,,1984
188,84,4,Universitas Sriwijaya,Manajemen,1988
189,84,5,Institut Teknologi Bandung,Hukum,1990
190,85,1,,,1991
191,85,4,Universitas Brawijaya,Teknik Sipil,1995
192,86,1,,,2011
193,86,2,Universitas Diponegoro,Statistika,2014
194,87,1,,,2007
195,87,4,Institut Pertanian Bogor,Akuntansi,2011
196,88,1,,,1988
197,88,4,BINUS University,Teknik Industri,1992
198,89,1,,,1983
199,89,4,Universitas Padjadjaran,Hukum,1987
200,90,1,,,1989
201,90,4,Universitas Negeri Yogyakarta,Manajemen,1993
202,91,1,,,1982
203,91,4,Universitas Airlangga,Administrasi Publik,1986
204,92,1,,,1983
205,92,4,Universitas Indonesia,Teknik Informatika,1987
206,93,1,,,2002
207,93,4,Universitas Negeri Jakarta,Administrasi Publik,2006
208,93,5,Universitas Indonesia,Manajemen,2008
209,94,1,,,1982
210,94,4,Universitas Indonesia,Akuntansi,1986
211,95,1,,,2003
212,95,4,Universitas Sriwijaya,Teknik Sipil,2007
213,96,1,,,2015
214,96,4,Universitas Negeri Jakarta,Hukum,2019
215,97,1,,,2009
